lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
мирок;s;NOUN;NOUN;2,0;71;90;126
миролюбие;s;NOUN;NOUN;0,8;44;85;57
мироощущение;s;NOUN;NOUN;2,9;74;90;198
миропомазание;s;NOUN;NOUN;0,4;11;54;28
миропонимание;s;NOUN;NOUN;1,2;40;83;80
миропорядок;s;NOUN;NOUN;1,5;56;87;102
миросозерцание;s;NOUN;NOUN;1,0;40;80;63
миротворец;s;NOUN;NOUN;3,2;66;86;166
миротворчество;s;NOUN;NOUN;0,7;28;72;47
мироточение;s;NOUN;NOUN;0,4;4;11;4
мироустройство;s;NOUN;NOUN;1,4;51;85;99
мирра;s;NOUN;NOUN;0,8;22;37;26
мирт;s;NOUN;NOUN;0,5;31;82;35
мирянин;s;NOUN;NOUN;3,7;65;79;158
миска;s;NOUN;NOUN;12,1;88;88;407
мисочка;s;NOUN;NOUN;0,6;34;81;44
мисс;s;NOUN;NOUN;5,3;76;85;192
миссионер;s;NOUN;NOUN;2,8;69;84;129
миссионерство;s;NOUN;NOUN;0,4;24;78;24
миссис;s;NOUN;NOUN;3,1;58;80;102
миссия;s;NOUN;NOUN;22,0;100;93;1051
мистер;s;NOUN;NOUN;14,5;89;87;360
мистерия;s;NOUN;NOUN;2,5;66;87;122
мистик;s;NOUN;NOUN;2,0;71;89;138
мистика;s;NOUN;NOUN;6,3;98;93;360
мистификатор;s;NOUN;NOUN;0,5;27;78;36
мистификация;s;NOUN;NOUN;2,4;69;88;141
мистицизм;s;NOUN;NOUN;1,1;50;83;68
митек;s;NOUN;NOUN;1,3;18;43;22
митинг;s;NOUN;NOUN;16,4;93;92;654
митоген;s;NOUN;NOUN;0,4;7;43;12
митоз;s;NOUN;NOUN;0,4;8;59;8
митохондрия;s;NOUN;NOUN;0,7;14;61;24
митра;s;NOUN;NOUN;0,9;34;73;46
митрополит;s;NOUN;NOUN;25,4;77;75;741
митрополия;s;NOUN;NOUN;0,5;17;66;22
миф;s;NOUN;NOUN;28,9;100;91;1059
мифологема;s;NOUN;NOUN;0,7;36;82;45
мифологизация;s;NOUN;NOUN;0,4;25;78;26
мифология;s;NOUN;NOUN;5,2;80;91;298
мифотворчество;s;NOUN;NOUN;0,5;31;82;39
мичман;s;NOUN;NOUN;3,7;52;58;74
мичуринец;s;NOUN;NOUN;0,6;25;75;31
мишень;s;NOUN;NOUN;10,1;95;93;500
мишура;s;NOUN;NOUN;1,6;66;89;119
младенец;s;NOUN;NOUN;23,6;99;94;948
младенчество;s;NOUN;NOUN;3,2;87;92;206
младенчик;s;NOUN;NOUN;0,5;21;76;26
млекопитающее;s;NOUN;NOUN;3,6;68;81;175
мнение;s;NOUN;NOUN;228,4;100;94;8619
мнимость;s;NOUN;NOUN;0,5;23;77;31
мнительность;s;NOUN;NOUN;1,1;52;86;77
многоборье;s;NOUN;NOUN;0,8;18;69;31
многовариантность;s;NOUN;NOUN;0,4;24;75;33
многогранник;s;NOUN;NOUN;3,0;15;25;21
многогранность;s;NOUN;NOUN;0,6;31;80;51
многоженство;s;NOUN;NOUN;0,5;27;77;33
многозначительность;s;NOUN;NOUN;0,7;41;85;58
многозначность;s;NOUN;NOUN;0,6;28;76;43
многолетник;s;NOUN;NOUN;1,3;34;79;78
многолюдье;s;NOUN;NOUN;0,4;26;80;30
многомерность;s;NOUN;NOUN;0,5;25;78;33
многообразие;s;NOUN;NOUN;9,5;90;88;632
многопартийность;s;NOUN;NOUN;0,8;34;72;50
многословие;s;NOUN;NOUN;0,8;48;88;62
многотиражка;s;NOUN;NOUN;1,0;42;84;58
многоточие;s;NOUN;NOUN;1,4;66;88;94
многоугольник;s;NOUN;NOUN;1,7;22;32;35
многочисленность;s;NOUN;NOUN;0,6;38;85;49
многочлен;s;NOUN;NOUN;0,6;14;60;18
многоэтажка;s;NOUN;NOUN;0,7;40;85;52
множественность;s;NOUN;NOUN;3,0;55;77;157
множество;s;NOUN;NOUN;113,3;100;92;3881
множитель;s;NOUN;NOUN;0,6;18;67;31
мобила;s;NOUN;NOUN;0,7;32;79;51
мобилизация;s;NOUN;NOUN;6,3;89;90;358
мобилизованный;s;NOUN;NOUN;0,4;28;82;34
мобильник;s;NOUN;NOUN;5,1;75;87;194
мобильность;s;NOUN;NOUN;3,4;61;84;230
мова;s;NOUN;NOUN;0,6;32;82;41
могиканин;s;NOUN;NOUN;0,8;46;87;64
могила;s;NOUN;NOUN;50,9;100;94;1375
могилка;s;NOUN;NOUN;3,6;75;88;186
могильник;s;NOUN;NOUN;1,5;46;72;63
могильщик;s;NOUN;NOUN;2,3;68;87;111
могущество;s;NOUN;NOUN;6,3;93;93;369
мода;s;NOUN;NOUN;46,0;100;94;1853
модальность;s;NOUN;NOUN;0,9;21;69;40
